dataset,method,seed,deleted_event,forgotten_task,n_later_requests,chance,immediate_accuracy,final_accuracy,final_distance_to_chance,max_post_delete_accuracy,max_rebound,final_rebound,max_excess_above_chance,experiment_tag,run_path
cifar100,clpu,0,3,7,0,0.2,0.20000000298023224,0.20000000298023224,2.980232227667301e-09,0.20000000298023224,0.0,0.0,2.980232227667301e-09,probe_v1,runs/cifar100/T10_F3/clpu/seed_0/20260712_201448
cifar100,clpu,1,1,2,2,0.2,0.20399999618530273,0.20399999618530273,0.003999996185302723,0.20399999618530273,0.0,0.0,0.003999996185302723,probe_v1,runs/cifar100/T10_F3/clpu/seed_1/20260712_211248
cifar100,clpu,1,2,1,1,0.2,0.23999999463558197,0.23999999463558197,0.03999999463558196,0.23999999463558197,0.0,0.0,0.03999999463558196,probe_v1,runs/cifar100/T10_F3/clpu/seed_1/20260712_211248
cifar100,clpu,1,3,6,0,0.2,0.1599999964237213,0.1599999964237213,0.0400000035762787,0.1599999964237213,0.0,0.0,0.0,probe_v1,runs/cifar100/T10_F3/clpu/seed_1/20260712_211248
cifar10,pall_original,0,1,0,2,0.5,0.49950000643730164,0.4959999918937683,0.0040000081062316895,0.5005000233650208,0.0010000169277191162,-0.003500014543533325,0.000500023365020752,probe_v1,runs/cifar10/T5_F3/pall_original/seed_0/20260712_191843
cifar10,pall_original,0,2,3,1,0.5,0.4950000047683716,0.4945000112056732,0.005499988794326782,0.4950000047683716,0.0,-0.0004999935626983643,0.0,probe_v1,runs/cifar10/T5_F3/pall_original/seed_0/20260712_191843
cifar10,pall_original,0,3,4,0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,probe_v1,runs/cifar10/T5_F3/pall_original/seed_0/20260712_191843
cifar10,pall_original,1,1,1,2,0.5,0.5009999871253967,0.5,0.0,0.5174999833106995,0.016499996185302734,-0.0009999871253967285,0.017499983310699463,probe_v1,runs/cifar10/T5_F3/pall_original/seed_1/20260712_201728
cifar10,pall_original,1,2,0,1,0.5,0.5,0.45100000500679016,0.04899999499320984,0.5,0.0,-0.04899999499320984,0.0,probe_v1,runs/cifar10/T5_F3/pall_original/seed_1/20260712_201728
cifar10,pall_original,1,3,3,0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,probe_v1,runs/cifar10/T5_F3/pall_original/seed_1/20260712_201728
cifar10,pall_modified,0,1,0,2,0.5,0.4959999918937683,0.5019999742507935,0.001999974250793457,0.5019999742507935,0.0059999823570251465,0.0059999823570251465,0.001999974250793457,probe_v1,runs/cifar10/T5_F3/pall_modified/seed_0/20260712_192947
cifar10,pall_modified,0,2,3,1,0.5,0.49399998784065247,0.4975000023841858,0.002499997615814209,0.4975000023841858,0.003500014543533325,0.003500014543533325,0.0,probe_v1,runs/cifar10/T5_F3/pall_modified/seed_0/20260712_192947
cifar10,pall_modified,0,3,4,0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,probe_v1,runs/cifar10/T5_F3/pall_modified/seed_0/20260712_192947
cifar10,pall_modified,1,1,1,2,0.5,0.49950000643730164,0.503000020980835,0.003000020980834961,0.5180000066757202,0.01850000023841858,0.003500014543533325,0.018000006675720215,probe_v1,runs/cifar10/T5_F3/pall_modified/seed_1/20260712_202826
cifar10,pall_modified,1,2,0,1,0.5,0.5,0.49300000071525574,0.006999999284744263,0.5,0.0,-0.006999999284744263,0.0,probe_v1,runs/cifar10/T5_F3/pall_modified/seed_1/20260712_202826
cifar10,pall_modified,1,3,3,0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,probe_v1,runs/cifar10/T5_F3/pall_modified/seed_1/20260712_202826
cifar10,pall_adapter,0,1,0,2,0.5,0.5370000004768372,0.5320000052452087,0.03200000524520874,0.5429999828338623,0.0059999823570251465,-0.004999995231628418,0.042999982833862305,probe_v1,runs/cifar10/T5_F3/pall_adapter/seed_0/20260712_194051
cifar10,pall_adapter,0,2,3,1,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,probe_v1,runs/cifar10/T5_F3/pall_adapter/seed_0/20260712_194051
cifar10,pall_adapter,0,3,4,0,0.5,0.4970000088214874,0.4970000088214874,0.0029999911785125732,0.4970000088214874,0.0,0.0,0.0,probe_v1,runs/cifar10/T5_F3/pall_adapter/seed_0/20260712_194051
cifar10,pall_adapter,1,1,1,2,0.5,0.4945000112056732,0.4909999966621399,0.009000003337860107,0.49549999833106995,0.0009999871253967285,-0.003500014543533325,0.0,probe_v1,runs/cifar10/T5_F3/pall_adapter/seed_1/20260712_203930
cifar10,pall_adapter,1,2,0,1,0.5,0.45100000500679016,0.5,0.0,0.5,0.04899999499320984,0.04899999499320984,0.0,probe_v1,runs/cifar10/T5_F3/pall_adapter/seed_1/20260712_203930
cifar10,pall_adapter,1,3,3,0,0.5,0.5149999856948853,0.5149999856948853,0.014999985694885254,0.5149999856948853,0.0,0.0,0.014999985694885254,probe_v1,runs/cifar10/T5_F3/pall_adapter/seed_1/20260712_203930
cifar10,lora,0,1,0,2,0.5,0.4984999895095825,0.4984999895095825,0.0015000104904174805,0.4984999895095825,0.0,0.0,0.0,probe_v1,runs/cifar10/T5_F3/lora/seed_0/20260712_194308
cifar10,lora,0,2,3,1,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,probe_v1,runs/cifar10/T5_F3/lora/seed_0/20260712_194308
cifar10,lora,0,3,4,0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,probe_v1,runs/cifar10/T5_F3/lora/seed_0/20260712_194308
cifar10,lora,1,1,1,2,0.5,0.4595000147819519,0.4595000147819519,0.040499985218048096,0.4595000147819519,0.0,0.0,0.0,probe_v1,runs/cifar10/T5_F3/lora/seed_1/20260712_204137
cifar10,lora,1,2,0,1,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,probe_v1,runs/cifar10/T5_F3/lora/seed_1/20260712_204137
cifar10,lora,1,3,3,0,0.5,0.49950000643730164,0.49950000643730164,0.0004999935626983643,0.49950000643730164,0.0,0.0,0.0,probe_v1,runs/cifar10/T5_F3/lora/seed_1/20260712_204137
cifar10,clpu,0,1,0,2,0.5,0.4684999883174896,0.4684999883174896,0.031500011682510376,0.4684999883174896,0.0,0.0,0.0,probe_v1,runs/cifar10/T5_F3/clpu/seed_0/20260712_194501
cifar10,clpu,0,2,3,1,0.5,0.4964999854564667,0.4964999854564667,0.003500014543533325,0.4964999854564667,0.0,0.0,0.0,probe_v1,runs/cifar10/T5_F3/clpu/seed_0/20260712_194501
cifar10,clpu,0,3,4,0,0.5,0.515500009059906,0.515500009059906,0.015500009059906006,0.515500009059906,0.0,0.0,0.015500009059906006,probe_v1,runs/cifar10/T5_F3/clpu/seed_0/20260712_194501
cifar10,clpu,1,1,1,2,0.5,0.48399999737739563,0.48399999737739563,0.01600000262260437,0.48399999737739563,0.0,0.0,0.0,probe_v1,runs/cifar10/T5_F3/clpu/seed_1/20260712_204329
cifar10,clpu,1,2,0,1,0.5,0.527999997138977,0.527999997138977,0.02799999713897705,0.527999997138977,0.0,0.0,0.02799999713897705,probe_v1,runs/cifar10/T5_F3/clpu/seed_1/20260712_204329
cifar10,clpu,1,3,3,0,0.5,0.5239999890327454,0.5239999890327454,0.02399998903274536,0.5239999890327454,0.0,0.0,0.02399998903274536,probe_v1,runs/cifar10/T5_F3/clpu/seed_1/20260712_204329
