dataset,role,method,x_measure,n,unique_x_n,x_min,x_max,slope,ci95_low,ci95_high,ci_includes_zero,r_squared,negative_worstdrop_n
cifar100,primary,pall_original,mean subnet-mask IoU,11,3,0.052597066666666664,0.11099106666666667,0.5173373610304063,-1124.3723812240294,1125.4070559460904,True,0.35739969881894196,0
cifar100,primary,pall_modified,mean subnet-mask IoU,12,4,0.052597066666666664,0.11099653333333333,0.06516658172625925,-0.26770731127956726,0.3980404747320858,True,0.05639292869046375,0
cifar100,primary,pall_adapter,shared-critical ratio,89,57,0.0,0.9566720911310008,0.041916755051935345,0.02580626557878963,0.05802724452508106,False,0.14542877288549683,0
cifar10,secondary,pall_original,mean subnet-mask IoU,12,4,0.1110128,0.111175,-35.94508228663085,-209.282453594906,137.3922890216443,True,0.03157768589638521,0
cifar10,secondary,pall_modified,mean subnet-mask IoU,14,5,0.1110328,0.111175,3.863960798938301,-107.69073599988141,115.41865759775803,True,0.0005346058996142933,0
cifar10,secondary,pall_adapter,shared-critical ratio,95,39,0.0,0.7882424735557364,0.009111888139198554,0.0007667350946691034,0.017457041183728005,False,0.028685202878031113,20
