dataset,method,seed,deleted_event,forgotten_task,observation_event,requests_after_deletion,forgotten_accuracy,chance,rebound_from_immediate,experiment_tag,run_path
cifar100,lora,0,2,6,3,1,0.20000000298023224,0.2,0.0,probe_v1,runs/cifar100/T10_F3/lora/seed_0/20260712_201246
cifar100,lora,0,3,7,3,0,0.20800000429153442,0.2,0.0,probe_v1,runs/cifar100/T10_F3/lora/seed_0/20260712_201246
cifar100,lora,1,1,2,1,0,0.17800000309944153,0.2,0.0,probe_v1,runs/cifar100/T10_F3/lora/seed_1/20260712_211046
cifar100,lora,1,1,2,2,1,0.17800000309944153,0.2,0.0,probe_v1,runs/cifar100/T10_F3/lora/seed_1/20260712_211046
cifar100,lora,1,1,2,3,2,0.17800000309944153,0.2,0.0,probe_v1,runs/cifar100/T10_F3/lora/seed_1/20260712_211046
cifar100,lora,1,2,1,2,0,0.20000000298023224,0.2,0.0,probe_v1,runs/cifar100/T10_F3/lora/seed_1/20260712_211046
cifar100,lora,1,2,1,3,1,0.20000000298023224,0.2,0.0,probe_v1,runs/cifar100/T10_F3/lora/seed_1/20260712_211046
cifar100,lora,1,3,6,3,0,0.20000000298023224,0.2,0.0,probe_v1,runs/cifar100/T10_F3/lora/seed_1/20260712_211046
cifar100,clpu,0,1,0,1,0,0.20000000298023224,0.2,0.0,probe_v1,runs/cifar100/T10_F3/clpu/seed_0/20260712_201448
cifar100,clpu,0,1,0,2,1,0.20000000298023224,0.2,0.0,probe_v1,runs/cifar100/T10_F3/clpu/seed_0/20260712_201448
cifar100,clpu,0,1,0,3,2,0.20000000298023224,0.2,0.0,probe_v1,runs/cifar100/T10_F3/clpu/seed_0/20260712_201448
cifar100,clpu,0,2,6,2,0,0.20000000298023224,0.2,0.0,probe_v1,runs/cifar100/T10_F3/clpu/seed_0/20260712_201448
cifar100,clpu,0,2,6,3,1,0.20000000298023224,0.2,0.0,probe_v1,runs/cifar100/T10_F3/clpu/seed_0/20260712_201448
cifar100,clpu,0,3,7,3,0,0.20000000298023224,0.2,0.0,probe_v1,runs/cifar100/T10_F3/clpu/seed_0/20260712_201448
cifar100,clpu,1,1,2,1,0,0.20399999618530273,0.2,0.0,probe_v1,runs/cifar100/T10_F3/clpu/seed_1/20260712_211248
cifar100,clpu,1,1,2,2,1,0.20399999618530273,0.2,0.0,probe_v1,runs/cifar100/T10_F3/clpu/seed_1/20260712_211248
cifar100,clpu,1,1,2,3,2,0.20399999618530273,0.2,0.0,probe_v1,runs/cifar100/T10_F3/clpu/seed_1/20260712_211248
cifar100,clpu,1,2,1,2,0,0.23999999463558197,0.2,0.0,probe_v1,runs/cifar100/T10_F3/clpu/seed_1/20260712_211248
cifar100,clpu,1,2,1,3,1,0.23999999463558197,0.2,0.0,probe_v1,runs/cifar100/T10_F3/clpu/seed_1/20260712_211248
cifar100,clpu,1,3,6,3,0,0.1599999964237213,0.2,0.0,probe_v1,runs/cifar100/T10_F3/clpu/seed_1/20260712_211248
cifar10,pall_original,0,1,0,1,0,0.49950000643730164,0.5,0.0,probe_v1,runs/cifar10/T5_F3/pall_original/seed_0/20260712_191843
cifar10,pall_original,0,1,0,2,1,0.5005000233650208,0.5,0.0010000169277191162,probe_v1,runs/cifar10/T5_F3/pall_original/seed_0/20260712_191843
cifar10,pall_original,0,1,0,3,2,0.4959999918937683,0.5,-0.003500014543533325,probe_v1,runs/cifar10/T5_F3/pall_original/seed_0/20260712_191843
cifar10,pall_original,0,2,3,2,0,0.4950000047683716,0.5,0.0,probe_v1,runs/cifar10/T5_F3/pall_original/seed_0/20260712_191843
cifar10,pall_original,0,2,3,3,1,0.4945000112056732,0.5,-0.0004999935626983643,probe_v1,runs/cifar10/T5_F3/pall_original/seed_0/20260712_191843
cifar10,pall_original,0,3,4,3,0,0.5,0.5,0.0,probe_v1,runs/cifar10/T5_F3/pall_original/seed_0/20260712_191843
cifar10,pall_original,1,1,1,1,0,0.5009999871253967,0.5,0.0,probe_v1,runs/cifar10/T5_F3/pall_original/seed_1/20260712_201728
cifar10,pall_original,1,1,1,2,1,0.5174999833106995,0.5,0.016499996185302734,probe_v1,runs/cifar10/T5_F3/pall_original/seed_1/20260712_201728
cifar10,pall_original,1,1,1,3,2,0.5,0.5,-0.0009999871253967285,probe_v1,runs/cifar10/T5_F3/pall_original/seed_1/20260712_201728
cifar10,pall_original,1,2,0,2,0,0.5,0.5,0.0,probe_v1,runs/cifar10/T5_F3/pall_original/seed_1/20260712_201728
cifar10,pall_original,1,2,0,3,1,0.45100000500679016,0.5,-0.04899999499320984,probe_v1,runs/cifar10/T5_F3/pall_original/seed_1/20260712_201728
cifar10,pall_original,1,3,3,3,0,0.5,0.5,0.0,probe_v1,runs/cifar10/T5_F3/pall_original/seed_1/20260712_201728
cifar10,pall_modified,0,1,0,1,0,0.4959999918937683,0.5,0.0,probe_v1,runs/cifar10/T5_F3/pall_modified/seed_0/20260712_192947
cifar10,pall_modified,0,1,0,2,1,0.5019999742507935,0.5,0.0059999823570251465,probe_v1,runs/cifar10/T5_F3/pall_modified/seed_0/20260712_192947
cifar10,pall_modified,0,1,0,3,2,0.5019999742507935,0.5,0.0059999823570251465,probe_v1,runs/cifar10/T5_F3/pall_modified/seed_0/20260712_192947
