dataset,method,level,seed,selected_run_path,WorstDrop
cifar100,pall_original,low,4,runs/cifar100/T10_F3/pall_original/seed_4/20260808_151510,0.0060000419616699219
cifar100,pall_original,medium,0,runs/cifar100/T10_F3/pall_original/seed_0/20260712_051158,0.03600001335144043
cifar100,pall_original,medium,1,runs/cifar100/T10_F3/pall_original/seed_1/20260712_102744,0.025999993085861206
cifar100,pall_original,medium,2,runs/cifar100/T10_F3/pall_original/seed_2/20260808_053724,0.012000024318695068
cifar100,pall_original,medium,3,runs/cifar100/T10_F3/pall_original/seed_3/20260808_105817,0.014000028371810913
cifar100,pall_original,medium,4,runs/cifar100/T10_F3/pall_original/seed_4/20260808_161928,0.0099999904632568359
cifar100,pall_original,high,0,runs/cifar100/T10_F3/pall_original/seed_0/20260712_061516,0.027999997138977051
cifar100,pall_original,high,1,runs/cifar100/T10_F3/pall_original/seed_1/20260712_113110,0.034000009298324585
cifar100,pall_original,high,2,runs/cifar100/T10_F3/pall_original/seed_2/20260808_064130,0.011999994516372681
cifar100,pall_original,high,3,runs/cifar100/T10_F3/pall_original/seed_3/20260808_120228,0.023999989032745361
cifar100,pall_original,high,4,runs/cifar100/T10_F3/pall_original/seed_4/20260808_172402,0.050000011920928955
cifar100,pall_original,very_high,0,runs/cifar100/T10_F3/pall_original/seed_0/20260712_071803,0.037999987602233887
cifar100,pall_original,very_high,1,runs/cifar100/T10_F3/pall_original/seed_1/20260712_123434,0.040000021457672119
cifar100,pall_original,very_high,2,runs/cifar100/T10_F3/pall_original/seed_2/20260808_074533,0.055999994277954102
cifar100,pall_original,very_high,3,runs/cifar100/T10_F3/pall_original/seed_3/20260808_130647,0.037999987602233887
cifar100,pall_original,very_high,4,runs/cifar100/T10_F3/pall_original/seed_4/20260808_182823,0.056000024080276489
cifar100,salun,very_low,0,runs/cifar100/T10_F3/salun/seed_0/20260712_033153,0.03200000524520874
cifar100,salun,very_low,1,runs/cifar100/T10_F3/salun/seed_1/20260712_084754,0.03200000524520874
cifar100,salun,very_low,2,runs/cifar100/T10_F3/salun/seed_2/20260808_035604,0.029999971389770508
cifar100,salun,very_low,3,runs/cifar100/T10_F3/salun/seed_3/20260808_091655,0.043999999761581421
cifar100,salun,very_low,4,runs/cifar100/T10_F3/salun/seed_4/20260808_143740,0.038000017404556274
cifar100,salun,low,0,runs/cifar100/T10_F3/salun/seed_0/20260712_043504,0.043999999761581421
cifar100,salun,low,1,runs/cifar100/T10_F3/salun/seed_1/20260712_095055,0.054000020027160645
cifar100,salun,low,2,runs/cifar100/T10_F3/salun/seed_2/20260808_050017,0.067999988794326782
cifar100,salun,low,3,runs/cifar100/T10_F3/salun/seed_3/20260808_102106,0.066000014543533325
cifar100,salun,low,4,runs/cifar100/T10_F3/salun/seed_4/20260808_154208,0.051999986171722412
cifar100,salun,medium,0,runs/cifar100/T10_F3/salun/seed_0/20260712_053817,0.092000007629394531
cifar100,salun,medium,1,runs/cifar100/T10_F3/salun/seed_1/20260712_105352,0.043999999761581421
cifar100,salun,medium,2,runs/cifar100/T10_F3/salun/seed_2/20260808_060422,0.071999996900558472
cifar100,salun,medium,3,runs/cifar100/T10_F3/salun/seed_3/20260808_112509,0.013999998569488525
cifar100,salun,medium,4,runs/cifar100/T10_F3/salun/seed_4/20260808_164624,0.03600001335144043
cifar100,salun,high,0,runs/cifar100/T10_F3/salun/seed_0/20260712_064126,0.031999975442886353
cifar100,salun,high,1,runs/cifar100/T10_F3/salun/seed_1/20260712_115720,0.11000001430511475
cifar100,salun,high,2,runs/cifar100/T10_F3/salun/seed_2/20260808_070822,0.081999987363815308
cifar100,salun,high,3,runs/cifar100/T10_F3/salun/seed_3/20260808_122931,0.034000009298324585
cifar100,salun,high,4,runs/cifar100/T10_F3/salun/seed_4/20260808_175104,0.097999989986419678
cifar100,salun,very_high,0,runs/cifar100/T10_F3/salun/seed_0/20260712_074432,0.049999982118606567
cifar100,salun,very_high,1,runs/cifar100/T10_F3/salun/seed_1/20260712_130051,0.040000021457672119
cifar100,salun,very_high,2,runs/cifar100/T10_F3/salun/seed_2/20260808_081230,0.13400000333786011
cifar100,salun,very_high,3,runs/cifar100/T10_F3/salun/seed_3/20260808_133339,0.046000003814697266
cifar100,salun,very_high,4,runs/cifar100/T10_F3/salun/seed_4/20260808_185514,0.061999976634979248
