dataset,method,level,seed,selected_run_path,WorstDrop
cifar10,pall_adapter,low,0,runs/cifar10/T5_F3/pall_adapter/seed_0/20260712_035833,-0.0015000104904174805
cifar10,pall_adapter,low,1,runs/cifar10/T5_F3/pall_adapter/seed_1/20260712_091435,0.039499998092651367
cifar10,pall_adapter,low,2,runs/cifar10/T5_F3/pall_adapter/seed_2/20260808_042310,0.002499997615814209
cifar10,pall_adapter,low,3,runs/cifar10/T5_F3/pall_adapter/seed_3/20260808_094348,-0.015999972820281982
cifar10,pall_adapter,low,4,runs/cifar10/T5_F3/pall_adapter/seed_4/20260808_150450,0.010999977588653564
cifar10,pall_adapter,medium,0,runs/cifar10/T5_F3/pall_adapter/seed_0/20260712_050143,-0.0015000104904174805
cifar10,pall_adapter,medium,1,runs/cifar10/T5_F3/pall_adapter/seed_1/20260712_101734,-0.0030000209808349609
cifar10,pall_adapter,medium,2,runs/cifar10/T5_F3/pall_adapter/seed_2/20260808_052713,0.004499971866607666
cifar10,pall_adapter,medium,3,runs/cifar10/T5_F3/pall_adapter/seed_3/20260808_104813,-0.018500030040740967
cifar10,pall_adapter,medium,4,runs/cifar10/T5_F3/pall_adapter/seed_4/20260808_160901,0.0065000057220458984
cifar10,pall_adapter,high,0,runs/cifar10/T5_F3/pall_adapter/seed_0/20260712_060455,-0.013999998569488525
cifar10,pall_adapter,high,1,runs/cifar10/T5_F3/pall_adapter/seed_1/20260712_112046,0.0209999680519104
cifar10,pall_adapter,high,2,runs/cifar10/T5_F3/pall_adapter/seed_2/20260808_063119,0.0055000185966491699
cifar10,pall_adapter,high,3,runs/cifar10/T5_F3/pall_adapter/seed_3/20260808_115217,-0.012000024318695068
cifar10,pall_adapter,high,4,runs/cifar10/T5_F3/pall_adapter/seed_4/20260808_171332,0.00050002336502075195
cifar10,pall_adapter,very_high,0,runs/cifar10/T5_F3/pall_adapter/seed_0/20260712_070801,0.0030000209808349609
cifar10,pall_adapter,very_high,1,runs/cifar10/T5_F3/pall_adapter/seed_1/20260712_122403,0.0209999680519104
cifar10,pall_adapter,very_high,2,runs/cifar10/T5_F3/pall_adapter/seed_2/20260808_073512,0.0059999823570251465
cifar10,pall_adapter,very_high,3,runs/cifar10/T5_F3/pall_adapter/seed_3/20260808_125636,-0.013999998569488525
cifar10,pall_adapter,very_high,4,runs/cifar10/T5_F3/pall_adapter/seed_4/20260808_181801,0.001999974250793457
cifar10,pall_modified,very_low,0,runs/cifar10/T5_F3/pall_modified/seed_0/20260712_024401,0.007499992847442627
cifar10,pall_modified,very_low,1,runs/cifar10/T5_F3/pall_modified/seed_1/20260712_080046,0.00050002336502075195
cifar10,pall_modified,very_low,2,runs/cifar10/T5_F3/pall_modified/seed_2/20260808_030809,0.0095000267028808594
cifar10,pall_modified,very_low,3,runs/cifar10/T5_F3/pall_modified/seed_3/20260808_082851,0.004499971866607666
cifar10,pall_modified,very_low,4,runs/cifar10/T5_F3/pall_modified/seed_4/20260808_134956,0.011500000953674316
cifar10,pall_modified,low,0,runs/cifar10/T5_F3/pall_modified/seed_0/20260712_034755,0.013000011444091797
cifar10,pall_modified,low,1,runs/cifar10/T5_F3/pall_modified/seed_1/20260712_090403,0.013999998569488525
cifar10,pall_modified,low,2,runs/cifar10/T5_F3/pall_modified/seed_2/20260808_041225,0.0099999904632568359
cifar10,pall_modified,low,3,runs/cifar10/T5_F3/pall_modified/seed_3/20260808_093305,0.00049996376037597656
cifar10,pall_modified,low,4,runs/cifar10/T5_F3/pall_modified/seed_4/20260808_145400,0.0015000104904174805
cifar10,pall_modified,medium,0,runs/cifar10/T5_F3/pall_modified/seed_0/20260712_045112,0.025499999523162842
cifar10,pall_modified,medium,1,runs/cifar10/T5_F3/pall_modified/seed_1/20260712_100703,0.021000027656555176
cifar10,pall_modified,medium,2,runs/cifar10/T5_F3/pall_modified/seed_2/20260808_051631,0.0014999508857727051
cifar10,pall_modified,medium,3,runs/cifar10/T5_F3/pall_modified/seed_3/20260808_103729,0.002499997615814209
cifar10,pall_modified,medium,4,runs/cifar10/T5_F3/pall_modified/seed_4/20260808_155823,0.010999977588653564
cifar10,pall_modified,high,0,runs/cifar10/T5_F3/pall_modified/seed_0/20260712_055424,0.019500017166137695
cifar10,pall_modified,high,1,runs/cifar10/T5_F3/pall_modified/seed_1/20260712_111006,0.017000019550323486
cifar10,pall_modified,high,2,runs/cifar10/T5_F3/pall_modified/seed_2/20260808_062040,0.012000024318695068
cifar10,pall_modified,high,3,runs/cifar10/T5_F3/pall_modified/seed_3/20260808_114135,0.004999995231628418
cifar10,pall_modified,high,4,runs/cifar10/T5_F3/pall_modified/seed_4/20260808_170244,0.0099999904632568359
cifar10,pall_modified,very_high,0,runs/cifar10/T5_F3/pall_modified/seed_0/20260712_065728,0.026500046253204346
cifar10,pall_modified,very_high,1,runs/cifar10/T5_F3/pall_modified/seed_1/20260712_121332,0.0209999680519104
cifar10,pall_modified,very_high,2,runs/cifar10/T5_F3/pall_modified/seed_2/20260808_072431,0.013500034809112549
cifar10,pall_modified,very_high,3,runs/cifar10/T5_F3/pall_modified/seed_3/20260808_124552,0.004499971866607666
cifar10,pall_modified,very_high,4,runs/cifar10/T5_F3/pall_modified/seed_4/20260808_180717,0.013000011444091797
cifar10,pall_original,very_low,0,runs/cifar10/T5_F3/pall_original/seed_0/20260712_023221,0.0090000033378601074
cifar10,pall_original,very_low,1,runs/cifar10/T5_F3/pall_original/seed_1/20260712_075013,0.010999977588653564
cifar10,pall_original,very_low,2,runs/cifar10/T5_F3/pall_original/seed_2/20260808_025742,0.018500030040740967
cifar10,pall_original,very_low,3,runs/cifar10/T5_F3/pall_original/seed_3/20260808_081818,0.0090000033378601074
cifar10,pall_original,very_low,4,runs/cifar10/T5_F3/pall_original/seed_4/20260808_133918,0.019500017166137695
cifar10,pall_original,low,0,runs/cifar10/T5_F3/pall_original/seed_0/20260712_033726,0.023000001907348633
cifar10,pall_original,low,1,runs/cifar10/T5_F3/pall_original/seed_1/20260712_085331,0.014499962329864502
cifar10,pall_original,low,2,runs/cifar10/T5_F3/pall_original/seed_2/20260808_040155,0.029999971389770508
