dataset,method,experiment_tag,adapter_shared_bottleneck,adapter_shared_forget_ratio,adapter_shared_protect_ratio,adapter_shared_forget_lr,adapter_shared_protect_strength,retrain_steps,adapter_train_classifier,final_avg_acc_mean,final_avg_acc_std,avg_forgetting_mean,avg_forgetting_std,Fu_mean,Fu_std,WorstDrop_mean,WorstDrop_std,Au_mean,Au_std,unlearning_score_mean,unlearning_score_std,t_retrain_mean,t_forget_total_mean,updated_param_ratio_mean,adapter_param_ratio_mean
cifar100,pall_adapter,ablation_cifar100_adapter_no_shared_e3_v1,0,0.0,0.0,,,,True,0.3931,0.0109,0.0648,0.0118,-0.0034,0.0020,0.0020,0.0000,0.1840,0.0368,-0.0099,0.0026,0.0284,1.7885,0.0109,0.0144
cifar100,pall_adapter,ablation_cifar100_adapter_shared_critical_e3_v1,16,0.3,0.2,,,,True,0.4084,0.0293,0.0853,0.0086,-0.0020,0.0024,0.0050,0.0042,0.1640,0.0283,-0.0107,0.0051,0.0273,1.7662,0.0123,0.0159
cifar100,pall_adapter,ablation_cifar100_adapter_shared_no_protection_e3_v1,16,0.3,0.0,,,,True,0.4203,0.0073,0.0751,0.0063,-0.0005,0.0011,0.0060,0.0057,0.1710,0.0382,-0.0097,0.0023,0.0293,1.7565,0.0123,0.0159
