dataset,method,experiment_tag,adapter_shared_bottleneck,adapter_shared_forget_ratio,adapter_shared_protect_ratio,adapter_shared_forget_lr,adapter_shared_protect_strength,retrain_steps,adapter_train_classifier,final_avg_acc_mean,final_avg_acc_std,avg_forgetting_mean,avg_forgetting_std,Fu_mean,Fu_std,WorstDrop_mean,WorstDrop_std,Au_mean,Au_std,unlearning_score_mean,unlearning_score_std,t_retrain_mean,t_forget_total_mean,updated_param_ratio_mean,adapter_param_ratio_mean
cifar10,pall_adapter,ablation_cifar10_adapter_high_forget_low_protect_e1_v1,16,0.6,0.1,,,,True,0.7920,,0.0276,,-0.0075,,-0.0010,,0.4520,,-0.0108,,0.0177,3.4992,0.0076,0.0087
cifar10,pall_adapter,ablation_cifar10_adapter_no_shared_e1_v1,0,0.0,0.0,,,,True,0.7635,,-0.0048,,-0.0324,,0.0000,,0.5000,,-0.0355,,0.1118,3.5137,0.0062,0.0073
cifar10,pall_adapter,ablation_cifar10_adapter_shared_critical_e1_v1,16,0.3,0.2,,,,True,0.7919,,0.0277,,-0.0074,,-0.0010,,0.4520,,-0.0107,,0.0181,3.5133,0.0076,0.0087
cifar10,pall_adapter,ablation_cifar10_adapter_shared_no_critical_e1_v1,16,0.0,0.0,,,,True,0.7917,,0.0274,,-0.0072,,0.0000,,0.4540,,-0.0111,,0.0925,3.4763,0.0076,0.0087
cifar10,pall_adapter,ablation_cifar10_adapter_shared_no_protection_e1_v1,16,0.3,0.0,,,,True,0.7914,,0.0281,,-0.0069,,-0.0010,,0.4520,,-0.0102,,0.1266,3.6306,0.0076,0.0087
