dataset,method,experiment_tag,adapter_shared_bottleneck,adapter_shared_forget_ratio,adapter_shared_protect_ratio,adapter_shared_forget_lr,adapter_shared_protect_strength,retrain_steps,adapter_train_classifier,final_avg_acc_mean,final_avg_acc_std,avg_forgetting_mean,avg_forgetting_std,Fu_mean,Fu_std,WorstDrop_mean,WorstDrop_std,Au_mean,Au_std,unlearning_score_mean,unlearning_score_std,t_retrain_mean,t_forget_total_mean,updated_param_ratio_mean,adapter_param_ratio_mean
cifar100,pall_adapter,ablation_cifar100_adapter_high_forget_low_protect_e1_v1,16,0.6,0.1,,,,True,0.3949,,0.0754,,-0.0020,,0.0040,,0.1420,,-0.0106,,0.0301,1.8375,0.0131,0.0159
cifar100,pall_adapter,ablation_cifar100_adapter_no_shared_e1_v1,0,0.0,0.0,,,,True,0.2997,,0.0392,,-0.0077,,0.0040,,0.1800,,-0.0156,,0.0276,1.7125,0.0117,0.0144
cifar100,pall_adapter,ablation_cifar100_adapter_shared_critical_e1_v1,16,0.3,0.2,,,,True,0.3946,,0.0756,,-0.0014,,0.0040,,0.1420,,-0.0100,,0.0295,1.7688,0.0131,0.0159
cifar100,pall_adapter,ablation_cifar100_adapter_shared_no_critical_e1_v1,16,0.0,0.0,,,,True,0.3934,,0.0776,,-0.0014,,0.0020,,0.1560,,-0.0090,,0.0286,1.7289,0.0131,0.0159
cifar100,pall_adapter,ablation_cifar100_adapter_shared_no_protection_e1_v1,16,0.3,0.0,,,,True,0.3934,,0.0774,,-0.0011,,0.0020,,0.1560,,-0.0087,,0.0291,1.7326,0.0131,0.0159
