dataset,method,experiment_tag,adapter_shared_bottleneck,adapter_shared_forget_ratio,adapter_shared_protect_ratio,adapter_shared_forget_lr,adapter_shared_protect_strength,retrain_steps,adapter_train_classifier,final_avg_acc_mean,final_avg_acc_std,avg_forgetting_mean,avg_forgetting_std,Fu_mean,Fu_std,WorstDrop_mean,WorstDrop_std,Au_mean,Au_std,unlearning_score_mean,unlearning_score_std,t_retrain_mean,t_forget_total_mean,updated_param_ratio_mean,adapter_param_ratio_mean
cifar100,pall_adapter,ablation_cifar100_adapter_shared_critical_e3_v1,16,0.3,0.2,,,,True,0.4084,0.0293,0.0853,0.0086,-0.0020,0.0024,0.0050,0.0042,0.1640,0.0283,-0.0107,0.0051,0.0273,1.7662,0.0123,0.0159
cifar100,pall_adapter,ablation_cifar100_adapter_shared_critical_p005_e3_v1,16,0.3,0.05,,,,True,0.4186,0.0012,0.0780,0.0054,0.0003,0.0024,0.0090,0.0071,0.1660,0.0170,-0.0103,0.0018,0.0281,1.9771,0.0123,0.0159
cifar100,pall_adapter,ablation_cifar100_adapter_shared_critical_p010_e3_v1,16,0.3,0.1,,,,True,0.4194,0.0065,0.0781,0.0033,-0.0000,0.0004,0.0070,0.0042,0.1660,0.0368,-0.0097,0.0023,0.0276,1.8019,0.0123,0.0159
cifar100,pall_adapter,ablation_cifar100_adapter_shared_critical_p020_e3_v1,16,0.3,0.2,,,,True,0.4084,0.0293,0.0853,0.0086,-0.0020,0.0024,0.0050,0.0042,0.1640,0.0283,-0.0107,0.0051,0.0270,1.7765,0.0123,0.0159
cifar100,pall_adapter,ablation_cifar100_adapter_shared_no_protection_e3_v1,16,0.3,0.0,,,,True,0.4203,0.0073,0.0751,0.0063,-0.0005,0.0011,0.0060,0.0057,0.1710,0.0382,-0.0097,0.0023,0.0293,1.7565,0.0123,0.0159
