dataset,role,method,x_measure,n,unique_x_n,x_min,x_max,slope,ci95_low,ci95_high,ci_includes_zero,r_squared,negative_worstdrop_n
cifar100,primary,pall_original,mean subnet-mask IoU,11,3,0.052597066666666664,0.11099106666666667,0.5173373610304063,-1124.3723812240294,1125.4070559460904,True,0.35739969881894196,0
cifar100,primary,pall_modified,mean subnet-mask IoU,12,4,0.052597066666666664,0.11099653333333333,0.06516658172625925,-0.26770731127956726,0.3980404747320858,True,0.05639292869046375,0
cifar100,primary,pall_adapter,shared-critical ratio,69,51,0.0,0.9566720911310008,0.03977607511002561,0.018966979174886267,0.06058517104516495,False,0.10768625633541451,0
cifar10,secondary,pall_original,mean subnet-mask IoU,12,4,0.1110128,0.111175,-35.94508228663085,-209.282453594906,137.3922890216443,True,0.03157768589638521,0
cifar10,secondary,pall_modified,mean subnet-mask IoU,14,5,0.1110328,0.111175,3.863960798938301,-107.69073599988141,115.41865759775803,True,0.0005346058996142933,0
cifar10,secondary,pall_adapter,shared-critical ratio,75,33,0.0,0.7882424735557364,0.007146734547522807,-0.002852397413105723,0.017145866508151336,True,0.014099639122260754,18
