run_path,experiment_tag,dataset,method,seed,arch,class_per_task,n_tasks,n_forget,n_epochs,adapter_bottleneck,adapter_train_classifier,adapter_location,protect_ratio,lambda_protect,retrain_steps,request_schedule_file,final_avg_accuracy,average_forgetting,Fu,WorstDrop,Au,t_reset,t_retrain,t_forget_total,num_updated_params,overlap_s_t,overlap_s_share,overlap_s_share_crit,overlap_s_share_ratio,overlap_s_share_crit_ratio
runs/cifar10/T5_F3/pall_adapter/seed_0/20260428_001412,adapter_soft_s05_v1,cifar10,pall_adapter,0,adapter_resnet18,2,5,3,3,16,True,residual,,0.0,,/Users/fateme/Documents/Uni/project/my thesis/code/Overlap-Aware-Selective-Forgetting-/schedules/cifar10_t5_f3_fixed_seed0.json,0.8018750101327896,0.03349999189376831,-0.01712501049041748,-0.00700002908706665,0.5,0.012084916001185775,0.013395916001172736,3.2858814589853864,86016,32768,16384,820,0.5,0.050048828125
runs/cifar10/T5_F3/pall_adapter/seed_1/20260428_001549,adapter_soft_s05_v1,cifar10,pall_adapter,1,adapter_resnet18,2,5,3,3,16,True,residual,,0.0,,/Users/fateme/Documents/Uni/project/my thesis/code/Overlap-Aware-Selective-Forgetting-/schedules/cifar10_t5_f3_fixed_seed0.json,0.7465000152587891,0.07849997282028198,-0.020500019192695618,-0.008000016212463379,0.4440000057220459,0.014815458009252325,0.014023374998942018,3.3056732499971986,86016,32768,16384,0,0.5,0.0
